Resampled version already cached
Resampled version already cached
         2617967 function calls (2562120 primitive calls) in 2.067 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      167    0.004    0.000    3.978    0.024 __init__.py:1(<module>)
   2262/1    0.031    0.000    2.069    2.069 {built-in method builtins.exec}
        1    0.000    0.000    2.069    2.069 examples.py:1(<module>)
   2258/1    0.007    0.000    1.588    1.588 <frozen importlib._bootstrap>:986(_find_and_load)
   2242/1    0.006    0.000    1.588    1.588 <frozen importlib._bootstrap>:956(_find_and_load_unlocked)
   2008/1    0.006    0.000    1.588    1.588 <frozen importlib._bootstrap>:650(_load_unlocked)
   1728/1    0.003    0.000    1.588    1.588 <frozen importlib._bootstrap_external>:837(exec_module)
   2894/1    0.001    0.000    1.588    1.588 <frozen importlib._bootstrap>:211(_call_with_frames_removed)
        1    0.000    0.000    1.587    1.587 synth.py:1(<module>)
 1016/116    0.002    0.000    1.412    0.012 {built-in method builtins.__import__}
 2260/297    0.003    0.000    1.359    0.005 <frozen importlib._bootstrap>:1017(_handle_fromlist)
        8    0.000    0.000    1.240    0.155 __init__.py:3(<module>)
        1    0.000    0.000    1.084    1.084 fetch.py:1(<module>)
        1    0.000    0.000    0.481    0.481 examples.py:7(sequencer_example)
        1    0.000    0.000    0.479    0.479 sequencer.py:59(render)
      9/1    0.014    0.002    0.454    0.454 sequencer.py:32(_render)
      9/1    0.006    0.001    0.453    0.453 sequencer.py:33(<listcomp>)
       32    0.000    0.000    0.432    0.014 synth.py:132(_render)
        2    0.000    0.000    0.432    0.216 synth.py:89(render)
        2    0.002    0.001    0.426    0.213 synth.py:82(reverb)
  568/272    0.001    0.000    0.426    0.002 {built-in method numpy.core._multiarray_umath.implement_array_function}
        2    0.002    0.001    0.424    0.212 synth.py:37(fft_convolve)
        6    0.002    0.000    0.421    0.070 _pocketfft.py:49(_raw_fft)
5603/5420    0.048    0.000    0.419    0.000 {built-in method builtins.__build_class__}
        6    0.419    0.070    0.419    0.070 {built-in method numpy.fft._pocketfft_internal.execute}
        1    0.000    0.000    0.306    0.306 pyplot.py:4(<module>)
        4    0.000    0.000    0.279    0.070 <__array_function__ internals>:177(rfft)
        4    0.000    0.000    0.279    0.070 _pocketfft.py:320(rfft)
        1    0.000    0.000    0.239    0.239 serve.py:1(<module>)
        2    0.000    0.000    0.219    0.110 base.py:5(<module>)
     1728    0.010    0.000    0.216    0.000 <frozen importlib._bootstrap_external>:909(get_code)
      101    0.001    0.000    0.213    0.002 artist.py:129(_update_set_signature_and_docstring)
        1    0.000    0.000    0.210    0.210 convert.py:3(<module>)
        1    0.000    0.000    0.210    0.210 notation.py:3(<module>)
      100    0.000    0.000    0.210    0.002 artist.py:105(__init_subclass__)
        1    0.000    0.000    0.207    0.207 util.py:5(<module>)
        1    0.000    0.000    0.200    0.200 audio.py:3(<module>)
2156/2015    0.012    0.000    0.188    0.000 <frozen importlib._bootstrap>:890(_find_spec)
        2    0.000    0.000    0.169    0.084 utils.py:3(<module>)
        2    0.000    0.000    0.154    0.077 session.py:14(<module>)
        1    0.000    0.000    0.151    0.151 _peak_finding.py:1(<module>)
        2    0.000    0.000    0.149    0.075 __init__.py:3233(_call_aside)
        1    0.000    0.000    0.149    0.149 __init__.py:3259(_initialize_master_working_set)
      114    0.000    0.000    0.148    0.001 artist.py:1804(kwdoc)
        1    0.000    0.000    0.142    0.142 colorbar.py:1(<module>)
        2    0.000    0.000    0.142    0.071 <__array_function__ internals>:177(irfft)
        2    0.000    0.000    0.142    0.071 _pocketfft.py:413(irfft)
        1    0.000    0.000    0.141    0.141 figure.py:1(<module>)
2009/1943    0.003    0.000    0.139    0.000 <frozen importlib._bootstrap>:549(module_from_spec)
     1728    0.003    0.000    0.139    0.000 <frozen importlib._bootstrap_external>:638(_compile_bytecode)
     8491    0.007    0.000    0.136    0.000 re.py:289(_compile)
        1    0.000    0.000    0.134    0.134 _stats_py.py:19(<module>)
     1728    0.134    0.000    0.134    0.000 {built-in method marshal.loads}
      114    0.004    0.000    0.127    0.001 artist.py:1565(pprint_setters)
      471    0.002    0.000    0.125    0.000 sre_compile.py:759(compile)
        1    0.000    0.000    0.117    0.117 distributions.py:8(<module>)
    26/21    0.000    0.000    0.115    0.005 __init__.py:109(import_module)
    27/21    0.000    0.000    0.115    0.005 <frozen importlib._bootstrap>:1002(_gcd_import)
      534    0.000    0.000    0.112    0.000 re.py:250(compile)
       18    0.001    0.000    0.108    0.006 __init__.py:609(add_entry)
        3    0.000    0.000    0.108    0.036 client.py:13(<module>)
        8    0.000    0.000    0.107    0.013 __init__.py:6(<module>)
     4131    0.009    0.000    0.103    0.000 artist.py:1437(get_valid_values)
        1    0.000    0.000    0.103    0.103 _cache.py:3(<module>)
      696    0.001    0.000    0.101    0.000 __init__.py:2065(find_on_path)
        1    0.001    0.001    0.098    0.098 _continuous_distns.py:6(<module>)
     3717    0.021    0.000    0.094    0.000 <frozen importlib._bootstrap_external>:1498(find_spec)
      107    0.002    0.000    0.093    0.001 _distn_infrastructure.py:1892(__init__)
        1    0.000    0.000    0.092    0.092 contour.py:1(<module>)
        1    0.000    0.000    0.089    0.089 storage.py:1(<module>)
        1    0.000    0.000    0.087    0.087 __init__.py:14(<module>)
        1    0.000    0.000    0.085    0.085 decompose.py:3(<module>)
     2150    0.001    0.000    0.084    0.000 <frozen importlib._bootstrap_external>:1399(find_spec)
        1    0.000    0.000    0.083    0.083 memory.py:1(<module>)
2151/2150    0.005    0.000    0.083    0.000 <frozen importlib._bootstrap_external>:1367(_get_spec)
        1    0.000    0.000    0.080    0.080 backend_bases.py:1(<module>)
        2    0.000    0.000    0.080    0.040 requirements.py:5(<module>)
        1    0.000    0.000    0.079    0.079 _store_backends.py:1(<module>)
2158/2039    0.001    0.000    0.077    0.000 __init__.py:89(find_spec)
        3    0.000    0.000    0.076    0.025 __init__.py:25(<module>)
        1    0.000    0.000    0.076    0.076 _subplots.py:1(<module>)
     1513    0.001    0.000    0.076    0.000 inspect.py:3103(signature)
        1    0.000    0.000    0.075    0.075 backports.py:1(<module>)
     1513    0.001    0.000    0.075    0.000 inspect.py:2851(from_callable)
1987/1523    0.006    0.000    0.075    0.000 inspect.py:2218(_signature_from_callable)
      2/1    0.000    0.000    0.075    0.075 __init__.py:99(spec_for_distutils)
      471    0.001    0.000    0.074    0.000 sre_parse.py:937(parse)
        1    0.000    0.000    0.072    0.072 _axes.py:1(<module>)
 1698/471    0.005    0.000    0.071    0.000 sre_parse.py:435(_parse_sub)
     6927    0.040    0.000    0.070    0.000 inspect.py:625(cleandoc)
       13    0.000    0.000    0.070    0.005 __init__.py:51(create_module)
       13    0.000    0.000    0.070    0.005 __init__.py:29(load_module)
 2412/566    0.026    0.000    0.069    0.000 sre_parse.py:493(_parse)
        1    0.000    0.000    0.069    0.069 widgets.py:1(<module>)
        1    0.000    0.000    0.067    0.067 patches.py:1(<module>)
        2    0.000    0.000    0.067    0.033 dist.py:1(<module>)
